,category,contract,input_len,output_len,inout_len,exec_time
0,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,1610,1591,3201,42
1,reentrancy,reentrance,715,641,1356,17
2,reentrancy,reentrancy_dao,710,484,1194,24
3,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,1724,1749,3473,41
4,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,1866,1825,3691,40
5,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,1867,1856,3723,37
6,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,1726,1671,3397,29
7,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,1650,1696,3346,33
8,reentrancy,etherstore,886,838,1724,16
9,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,1606,1638,3244,30
10,reentrancy,reentrancy_simple,664,582,1246,14
11,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,1519,1506,3025,46
12,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,1420,1427,2847,24
13,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,1438,1347,2785,26
14,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,1650,1681,3331,24
15,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,1606,1612,3218,40
16,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,1610,1672,3282,31
17,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,1420,1352,2772,25
18,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,1648,1532,3180,19
19,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,1608,1666,3274,27
20,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,1432,1332,2764,26
21,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,1438,1274,2712,27
22,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,1659,1685,3344,25
23,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,1140,1018,2158,15
24,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,1139,1035,2174,20
25,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,585,492,1077,15
26,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,520,396,916,12
27,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,589,521,1110,18
28,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,588,593,1181,19
29,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,1828,1665,3493,43
30,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,1785,1671,3456,30
31,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,588,508,1096,22
32,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,589,738,1327,22
33,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,1141,1033,2174,17
34,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,1900,1781,3681,30
35,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,1899,1763,3662,30
36,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,652,718,1370,34
37,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,940,1035,1975,20
38,other,name_registrar,792,572,1364,16
39,other,crypto_roulette,1261,1113,2374,33
40,access_control,proxy,420,473,893,13
41,access_control,phishable,518,422,940,9
42,access_control,mycontract,478,466,944,11
