,category,contract,output_num,input_len,output_len,inout_len,exec_time
0,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,0,1610,1498,3108,56
1,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,1,1610,1591,3201,32
2,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,2,1610,1615,3225,62
3,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,3,1610,1609,3219,38
4,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,4,1610,1483,3093,42
5,reentrancy,reentrance,0,715,555,1270,20
6,reentrancy,reentrance,1,715,738,1453,18
7,reentrancy,reentrance,2,715,641,1356,13
8,reentrancy,reentrance,3,715,617,1332,13
9,reentrancy,reentrance,4,715,820,1535,17
10,reentrancy,reentrancy_dao,0,710,616,1326,25
11,reentrancy,reentrancy_dao,1,710,480,1190,24
12,reentrancy,reentrancy_dao,2,710,484,1194,15
13,reentrancy,reentrancy_dao,3,710,484,1194,26
14,reentrancy,reentrancy_dao,4,710,484,1194,20
15,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,0,1724,1733,3457,35
16,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,1,1724,1822,3546,52
17,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,2,1724,1733,3457,41
18,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,3,1724,1814,3538,24
19,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,4,1724,1749,3473,41
20,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,0,1866,1825,3691,40
21,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,1,1866,2125,3991,33
22,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,2,1866,1928,3794,43
23,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,3,1866,1807,3673,37
24,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,4,1866,1706,3572,49
25,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,0,1867,1856,3723,39
26,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,1,1867,1929,3796,45
27,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,2,1867,1849,3716,19
28,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,3,1867,1679,3546,25
29,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,4,1867,2150,4017,37
30,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,0,1726,1746,3472,29
31,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,1,1726,1566,3292,34
32,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,2,1726,1573,3299,16
33,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,3,1726,1671,3397,31
34,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,4,1726,1783,3509,23
35,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,0,1650,1676,3326,40
36,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,1,1650,1787,3437,33
37,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,2,1650,1626,3276,35
38,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,3,1650,1820,3470,32
39,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,4,1650,1696,3346,18
40,reentrancy,etherstore,0,886,885,1771,15
41,reentrancy,etherstore,1,886,838,1724,16
42,reentrancy,etherstore,2,886,720,1606,16
43,reentrancy,etherstore,3,886,919,1805,17
44,reentrancy,etherstore,4,886,719,1605,16
45,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,0,1606,1638,3244,22
46,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,1,1606,1559,3165,32
47,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,2,1606,1661,3267,30
48,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,3,1606,1535,3141,36
49,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,4,1606,1641,3247,28
