,category,contract,input_len,output_len,inout_len,exec_time
0,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,4891,1541,6432,31
1,reentrancy,reentrance,3996,608,4604,20
2,reentrancy,reentrancy_dao,3991,659,4650,26
3,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,5009,1651,6660,21
4,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,5147,1799,6946,38
5,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,5148,1792,6940,41
6,reentrancy,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,5007,1653,6660,14
7,reentrancy,0x561eac93c92360949ab1f1403323e6db345cbf31,4931,1583,6514,27
8,reentrancy,etherstore,4167,733,4900,28
9,reentrancy,0x7541b76cb60f4c60af330c208b0623b7f54bf615,4887,1537,6424,36
10,reentrancy,reentrancy_simple,2652,491,3143,19
11,reentrancy,0x941d225236464a25eb18076df7da6a91d0f95e9e,4800,1486,6286,44
12,reentrancy,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,4701,1389,6090,30
13,reentrancy,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,4719,1345,6064,60
14,reentrancy,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,4931,1583,6514,32
15,reentrancy,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,4887,1515,6402,29
16,reentrancy,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,4891,1553,6444,24
17,reentrancy,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,4701,1357,6058,23
18,reentrancy,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,4929,1579,6508,23
19,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,4889,1539,6428,30
20,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,4713,1363,6076,22
21,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,4719,1363,6082,24
22,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,4940,1586,6526,22
23,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,3125,963,4088,15
24,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,3124,962,4086,11
25,unchecked_low_level_calls,0xd5967fed03e85d1cce44cab284695b41bc675b5c,1383,399,1782,6
26,unchecked_low_level_calls,0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,1682,428,2110,13
27,unchecked_low_level_calls,0x2972d548497286d18e92b5fa1f8f9139e5653fd2,2574,445,3019,15
28,unchecked_low_level_calls,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,1386,402,1788,6
29,unchecked_low_level_calls,0x39cfd754c85023648bf003bea2dd498c5612abfa,2626,1639,4265,20
30,unchecked_low_level_calls,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,4725,1586,6311,18
31,unchecked_low_level_calls,0x4051334adc52057aca763453820cb0e045076ef3,3457,438,3895,17
32,unchecked_low_level_calls,0xa46edd6a9a93feec36576ee5048146870ea2c3ae,1391,450,1841,9
33,unchecked_low_level_calls,0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,3116,957,4073,11
34,unchecked_low_level_calls,0x8fd1e427396ddb511533cf9abdbebd0a7e08da35,4840,1776,6616,16
35,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,4839,1722,6561,24
36,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,1450,466,1916,9
37,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,1742,776,2518,12
38,other,name_registrar,3068,609,3677,28
39,other,crypto_roulette,2565,1079,3644,29
40,access_control,proxy,2101,438,2539,19
41,access_control,phishable,1174,333,1507,9
42,access_control,mycontract,1214,305,1519,14
