,category,contract,output_num,input_len,output_len,inout_len,exec_time
0,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,0,4891,1526,6417,31
1,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,1,4891,1620,6511,25
2,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,2,4891,1558,6449,26
3,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,3,4891,1541,6432,37
4,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,4,4891,1531,6422,38
5,reentrancy,reentrance,0,3996,573,4569,15
6,reentrancy,reentrance,1,3996,608,4604,20
7,reentrancy,reentrance,2,3996,1517,5513,25
8,reentrancy,reentrance,3,3996,628,4624,18
9,reentrancy,reentrance,4,3996,573,4569,27
10,reentrancy,reentrancy_dao,0,3991,712,4703,23
11,reentrancy,reentrancy_dao,1,3991,442,4433,36
12,reentrancy,reentrancy_dao,2,3991,642,4633,16
13,reentrancy,reentrancy_dao,3,3991,659,4650,38
14,reentrancy,reentrancy_dao,4,3991,685,4676,26
15,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,0,5009,1690,6699,20
16,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,1,5009,1651,6660,21
17,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,2,5009,1658,6667,22
18,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,3,5009,1651,6660,11
19,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,4,5009,1651,6660,29
20,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,0,5147,1799,6946,53
21,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,1,5147,1762,6909,30
22,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,2,5147,1799,6946,38
23,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,3,5147,1878,7025,44
24,reentrancy,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,4,5147,1815,6962,36
25,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,0,5148,1754,6902,66
26,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,1,5148,1792,6940,48
27,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,2,5148,1855,7003,23
28,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,3,5148,1815,6963,41
29,reentrancy,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,4,5148,1762,6910,40
